,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06
M,612977,599106,664240,532153,656502,641926,584075,637758,537990,624124,599091,481413,519103,522086,550921,565483,595295,516145
F,197649,195329,214118,173273,215896,211724,189291,205781,172031,204875,197533,149189,167189,172109,186304,190949,202779,173976
