id,name,adress,zipcode,dist_code,stype
331,331 AVENIDA 2-CALLE 17,331 - Avenida 2-Calle 17,3800,SPP,BIKE
332,332 SUR DE CALLE 27-AVENIDA 3,332 - Sur De Calle 27-Avenida 3,3800,SPP,BIKE
333,333 GEORGIA -CAROLINA,333 - Georgia -Carolina,3810,NAP,BIKE
334,334 NUEVA YORK-AV. INSURGENTES,334 - Nuerva York-Av. Insurgentes,3840,AMN,BIKE
335,335 MAGDALENA-AMEYALCO,335 - Magdalena-Ameyalco,3100,DVC,BIKE
336,336 SAN BORJA-CDA. BARTOLOCHE,336 - San Borja-Cda. Bartoloche,3100,DVC,BIKE
337,337 SAN BORJA-MARTÍN MENLALDE,337 - San Borja-Martín Menlalde,3100,DVC,"BIKE,TPV"
338,338 NICOLAS SAN JUAN-SAN BORJA,338 - Nicolas San Juan-San Borja,3100,DVC,BIKE
339,339 ENRIQUE RÉBSAMEN-AVENIDA EUGENIA,339 - Enrique Rébsamen-Avenida Eugenia,3020,NAR,BIKE
340,340 ANAXÁGORAS-AVENIDA EUGENIA,340 - Anaxágoras-Avenida Eugenia,3020,NAR,"BIKE,TPV"
341,341 SAN BORJA-AVENIDA CUAUHTEMOC,341 - San Borja-Avenida Cuauhtemoc,3020,NAR,BIKE
342,342 ANAXÁGORAS-ANGEL URRAZA EJE 6 SUR,342 - Anaxágoras-Angel Urraza Eje 6 Sur,3020,NAR,BIKE
343,343 ENRIQUE RÉBSAMEN-DIVISIÓN DEL NORTE,343 - Enrique Rébsamen-División Del Norte,3100,DVC,BIKE
344,344 HERIBERTO FRÍAS-ANGEL URRAZA EJE 6 SUR,344 - Heriberto Frías-Angel Urraza Eje 6 Sur,3100,DVC,BIKE
345,345 MIRAFLORES-PATRICIO SANZ,345 - Miraflores-Patricio Sanz,3100,ISB,BIKE
346,346 SAN FRANCISCO-SANTA MARGARITA,346 - San Francisco-Santa Margarita,3100,ISB,BIKE
347,347 PENNSYLVANIA-MAXIMINO AVILA CAMACHO,347 - Pennsylvania-Maximino Avila Camacho,3710,1,"BIKE,TPV"
348,348 INDIANA-AVENIDA SAN ANTONIO,348 - Indiana-Avenida San Antonio,3710,CDD,BIKE
349,349 AUGUSTO RODIN-AVENIDA SAN ANTONIO,349 - Augusto Rodin-Avenida San Antonio,3840,AMN,BIKE
350,350 JOSE CLEMENTE OROZCO-CORREGGIO,350 - Jose Clemente Orozco-Correggio,3710,1,BIKE
351,351 CALLE 27-AVENIDA REVOLUCIÓN,351 - Calle 27-Avenida Revolución,3800,SPP,BIKE
352,352 TINTORETO-GIORGINE,352 - Tintoreto-Giorgine,3700,SMN,"BIKE,TPV"
353,353 CAROLINA-HOLBEIN,353 - Carolina-Holbein,3710,CDD,"BIKE,TPV"
354,354 BOSTON-AV. INSURGENTES,354 - Boston-Av. Insurgentes,3720,NBU,BIKE
355,355 CALIFORNIA-SACRAMENTO,355 - California-Sacramento,3100,ISB,BIKE
356,356 MATIAS ROMERO -ADOLFO PRIETO,356 - Matias Romero -Adolfo Prieto,3100,1,BIKE
357,357 MATIAS ROMERO -AMORES,357 - Matias Romero -Amores,3100,DVC,BIKE
358,358 NICOLAS SAN JUAN-MATIAS ROMERO ,358 - Nicolas San Juan-Matias Romero,3100,DVC,BIKE
359,359 MATIAS ROMERO -PESTALLOZZI,359 - Matias Romero -Pestallozzi,3100,DVC,"BIKE,TPV"
360,360 HERIBERTO FRÍAS-MATIAS ROMERO,360 - Heriberto Frías-Matias Romero,3100,DVC,BIKE
361,361 PORFIRIO DÍAZ-AV. INSURGENTES,361 - Porfirio Díaz-Av. Insurgentes,3100,1,BIKE
362,362 AUGUSTO RODIN-ALBERTO BALDERAS,362 - Augusto Rodin-Alberto Balderas,3710,CDD,BIKE
363,363 HOLBEIN-PAULO UCELLO,363 - Holbein-Paulo Ucello,3710,CDD,BIKE
364,364 BOTICHELLI-CDA. DE GIORGONE,364 - Botichelli-Cda. De Giorgone,3700,SMN,BIKE
365,365 HOLBEIN-AVENIDA REVOLUCIÓN,365 - Holbein-Avenida Revolución,3700,SMN,BIKE
366,366 PORFIRIO DÍAZ-AUGUSTO RODÍN,366 - Porfirio Díaz-Augusto Rodín,3740,EXI,BIKE
367,367 BOSTON -AUGUSTO RODÍN,367 - Boston -Augusto Rodín,3720,NBU,BIKE
368,368 PORFIRIO DÍAZ-CINCINATTI ,368 - Porfirio Díaz-Cincinatti,3740,1,BIKE
369,369 PORFIRIO DÍAZ-AV. INSURGENTES,369 - Porfirio Díaz-Av. Insurgentes,3740,1,"BIKE,TPV"
370,370 TLACOQUEMECATL-AV. INSURGENTES,370 - Tlacoquemecatl-Av. Insurgentes,3200,TLA,BIKE
371,371 TLACOQUEMECATL-CAPULIN,371 - Tlacoquemecatl-Capulin,3200,TLA,BIKE
372,372 DR. ROBERTO GAYOL-TLACOQUEMECATL,372 - Dr. Roberto Gayol-Tlacoquemecatl,3104,1,"BIKE,TPV"
373,373 PILARES-GABRIEL MANCERA,373 - Pilares-Gabriel Mancera,3100,DVC,BIKE
374,374 PITÁGORAS-PILARES,374 - Anaxágoras-Pilares,3100,DVC,"BIKE,TPV"
375,375 TENAYUCA-DIVISIÓN DEL NORTE,375 - Tenayuca-División Del Norte,3650,LEV,BIKE
376,376 PITÁGORAS-AV. UNIVERSIDAD,376 - Pitágoras-Av. Universidad,3650,LEV,BIKE
377,377 HERIBERTO FRÍAS-MIGUEL LAURENT,377 - Heriberto Frías-Miguel Laurent,3104,DVS,BIKE
378,378 MIGUEL LAURENT-AMORES,378 - Miguel Laurent-Amores,3104,DVS,BIKE
379,379 DR. ROBERTO GAYOL-MIGUEL LAURENT,379 - Dr. Roberto Gayol-Miguel Laurent,3104,1,BIKE
380,380 MORAS-SAN LORENZO,380 - Moras-San Lorenzo,3200,TLA,BIKE
381,381 SAN LORENZO-MANZANAS,381 - San Lorenzo-Manzanas,3200,TLA,BIKE
382,382 SAN LORENZO-AV. INSURGENTES,382 - San Lorenzo-Av. Insurgentes, 3200 ,TLA,BIKE
383,383 LUIS CARACCI-2DA. LUIS CARACCI,383 - Luis Caracci-2da. Luis Caracci,3740,EXI,BIKE
384,384 EMPRESA-POUSSIN,384 - Empresa-Poussin,3920,INM,BIKE
385,385 POUSSIN-EMPRESA,385 - Poussin-Empresa,3920,INM,"BIKE,TPV"
386,386 POUSSIN-DONATELLO,386 - Poussin-Donatello,3920,INM,BIKE
387,387 CADIZ-EMPRESA,387 - Cadiz-Empresa,3920,INM,BIKE
388,388 VALENCIA-MALAGA,388 - Valencia-Malaga,3920,INM,BIKE
389,389 SANTANDER-FELIX CUEVAS,389 - Santander-Felix Cuevas,3920,INM,BIKE
390,390 OSO-FELIX CUEVAS,390 - Oso-Felix Cuevas,3104,DVS,"BIKE,TPV"
391,391 OSO-FELIX CUEVAS,391 - Oso-Felix Cuevas,3104,DVS,BIKE
392,392 PATRICIO SANZ-FELIX CUEVAS,392 - Patricio Sanz-Felix Cuevas,3200,TLA,BIKE
